"","inbred","condition","hours_elapsed","min","med","mean","max","sd","iqr"
"510","NC362","ws",36,0.73029256,2.1747403,1.947179596,3.0359032,0.833585918153541,1.329118575
"511","NC362","ww",6,0,0.825491995,0.786517877,1.2738955,0.38667292663778,0.38545054
"512","NC362","ww",36,2.0341551,4.1466083,4.08077461,5.7306743,1.10335732651629,1.50719985
"513","NC364","ws",6,0.47354615,0.7846643,0.795262051,1.132937,0.194349458529929,0.255377125
"514","NC364","ws",30,1.0621012,2.0234719,1.91752881,2.4212554,0.457172254642914,0.466196875
"515","NC364","ww",6,0.73504007,1.0745288,1.077304208,1.5340893,0.268254455234447,0.1821683725
"516","NC364","ww",29.9997222222222,3.7840798,4.4811767,4.53094127,5.4601274,0.601689719997699,0.979026425
"517","NC366","ws",6,0,0.781604575,1.706184191,4.7459116,1.7582138448975,3.162817369
"518","NC366","ww",6,0,0.60526095,3.25372426181818,10.602101,3.86995846085995,6.76064945
"519","ND246","ws",6,0.6846291,1.4055213,1.31284311,1.6484778,0.296357995347322,0.35444055
"520","ND246","ws",30,1.5544318,2.7594267,2.53814871,3.4741468,0.69763421294662,1.122725775
"521","ND246","ww",6,1.0027521,1.55622025,1.56587333,2.2652164,0.372765484464742,0.400502625
"522","ND246","ww",30,2.0536466,3.72955305,3.76224837,5.5072927,1.26383869330691,1.929411925
"523","OH40B","ws",6,0,0,0.297642316,1.1464502,0.412118206217752,0.5133132525
"524","OH40B","ww",6,0,0.329865975,1.161778859,4.8870077,1.60071008981228,2.03050685
"525","OH43","ws",6,0,0.321833565,0.29755858,0.54762316,0.158865710441412,0.1505445175
"526","OH43","ws",30,0.71956056,1.67447355,1.742153176,2.4021108,0.490204323996379,0.605564525
"527","OH43","ww",6,0.07448318,0.339604825,0.351541674,0.68374157,0.198806913372779,0.186176
"528","OH43","ww",30.0005555555556,2.090333,3.1163366,3.35161679,4.7245264,0.81584532299142,0.963841175
