"","inbred","rootbot_date","scored","source","earliest_scored_plate","condition","cassette","uid","in_meta","image","root","vector_length","surface","volume","direction","diameter","root_order","root_ontology","parent_name","parent","insertion_position","insertion_angle","n_child","child_density","first_child","insertion_first_child","last_child","insertion_last_child","file","in_df"
"61","MO45",NA,NA,NA,NA,NA,7,NA,FALSE,"20181108-164457-plate_007"," a697aee3-0573-45f1-98d9-4f6ef3c23500",1.3034058,0.5460655,0.018992938,268.718138100574,0.1332634,0," Primary root","-1","-1",-0.003753754,-57.2957795130823,0,0," null"," null"," null"," null","20181108-164457-plate_007.csv",TRUE
"62","MO45",NA,NA,NA,NA,NA,7,NA,FALSE,"20181108-164457-plate_007"," 4205fa6a-b398-4589-8732-c62128d006d6",3.0586312,0.23391482,0.0015955889,307.941537598126,0.02052255,0," Primary root","-1","-1",-0.003753754,-57.2957795130823,0,0," null"," null"," null"," null","20181108-164457-plate_007.csv",TRUE
"63","MO45",NA,NA,NA,NA,NA,7,NA,FALSE,"20181108-164457-plate_007"," 64200dc6-2c6f-4b8d-929f-36c29c2c44c0",1.4896755,0.15808043,0.0013362855,261.556466189762,0.033778176,0," Primary root","-1","-1",-0.003753754,-57.2957795130823,0,0," null"," null"," null"," null","20181108-164457-plate_007.csv",TRUE
"64","MO45",NA,NA,NA,NA,NA,7,NA,FALSE,"20181108-164457-plate_007"," a732d0cd-14b0-4b5f-a784-f3da29dc5837",3.8278372,0.09193739,0.00017615195,267.590009415741,0.00813369,0," Primary root","-1","-1",-0.003753754,-57.2957795130823,0,0," null"," null"," null"," null","20181108-164457-plate_007.csv",TRUE
"65","MO45",NA,NA,NA,NA,NA,7,NA,FALSE,"20181108-164457-plate_007"," 686019f6-cdfb-4bac-9539-f0911c562d9f",1.5967933,0.18065798,0.0016410723,263.527822708768,0.035664126,0," Primary root","-1","-1",-0.003753754,-57.2957795130823,0,0," null"," null"," null"," null","20181108-164457-plate_007.csv",TRUE
"66","MO45",NA,NA,NA,NA,NA,7,NA,FALSE,"20181108-164457-plate_007"," 2bf2e5b1-000e-4714-a1de-760db8e4e62f",0.93432355,0.28114074,0.006945737,282.703606124335,0.09573092,0," Primary root","-1","-1",-0.003753754,-57.2957795130823,0,0," null"," null"," null"," null","20181108-164457-plate_007.csv",TRUE
"67","MO45",NA,NA,NA,NA,NA,7,NA,FALSE,"20181108-164457-plate_007"," 53d9a71a-c191-4025-826e-63199c657008",2.1752682,0.34635967,0.0046771048,285.104936711972,0.050680555,0," Primary root","-1","-1",-0.003753754,-57.2957795130823,0,0," null"," null"," null"," null","20181108-164457-plate_007.csv",TRUE
"68","MO45",NA,NA,NA,NA,NA,7,NA,FALSE,"20181108-164457-plate_007"," 761eb035-a198-4d5a-b482-f271a1e5cf9c",4.5073915,0.65722466,0.0077540446,242.147964568794,0.042421006,0," Primary root","-1","-1",-0.003753754,-57.2957795130823,0,0," null"," null"," null"," null","20181108-164457-plate_007.csv",TRUE
"69","MO45",NA,NA,NA,NA,NA,7,NA,FALSE,"20181108-164457-plate_007"," eb317e32-1bc4-43f5-8c68-2626e699e72d",4.0823364,2.4768944,0.2103762,254.171419772334,0.13325466,0," Primary root","-1","-1",-0.003753754,-57.2957795130823,0,0," null"," null"," null"," null","20181108-164457-plate_007.csv",TRUE
"70","MO45",NA,NA,NA,NA,NA,7,NA,FALSE,"20181108-164457-plate_007"," 3b766cd8-d2a5-4f1e-8984-8835420d0134",1.8078697,0.9724033,0.048691336,265.542810476192,0.1708095,0," Primary root","-1","-1",-0.003753754,-57.2957795130823,0,0," null"," null"," null"," null","20181108-164457-plate_007.csv",TRUE
